"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание нового бронирования с валидными данными","96","Create booking","","2026-09-17","passed","2026-09-17","","Restful booker Api testing","",""
"Полное обновление бронирования","69","Update created booking","","2026-09-17","passed","2026-09-17","","Restful booker Api testing","",""
"Получение бронирования","68","Get created booking","","2026-09-17","passed","2026-09-17","","Restful booker Api testing","",""
" Получение списка всех ID бронирований","418","Get all booking ids","","2026-09-17","passed","2026-09-17","","Restful booker Api testing","",""
"Полное обновление бронирования","68","Partial update created booking","","2026-09-17","passed","2026-09-17","","Restful booker Api testing","",""
"","167","Authorize valid and invalid login/password pairs","","2026-09-17","passed","2026-09-17","","Restful booker Api testing","",""
" Удаление бронирования","59","Delete created booking by auth user","","2026-09-17","passed","2026-09-17","","Restful booker Api testing","",""
